name,center,radius
Crescent Taurus,[-407.54, 106.90, 112.46],712.31
Crescent Foper,[-340.21, 120.11, 132.57],597.37
Crescent Aetherscab,[-422.23, 99.74, 3.62],200.86
Crescent Flying Lizard,[761.19, 75.85, -596.39],163.62
Crescent Bachelor,[658.58, 71.01, 612.64],229.66
Crescent Blackguard,[610.20, 70.42, 513.79],247.89
Crescent Bandersnatch,[739.16, 65.91, -712.86],112.29
Crescent Garula,[494.19, 68.04, -619.69],502.52
Crescent Chaochu,[644.90, 88.81, -436.60],160.16
Crescent Fan,[660.43, 107.50, -21.40],245.84
Crescent Marolith,[569.31, 95.04, -149.70],227.52
Crescent Leshy,[317.71, 91.17, -418.60],288.41
Crescent Snapweed,[486.67, 94.73, -317.66],200.55
Crescent Brachiosaur,[-154.08, 104.69, 237.77],345.17
Crescent Rosebear,[-365.65, 100.09, -125.20],318.35
Crescent Harpuia,[-387.12, 98.67, -262.38],338.68
Crescent Tormentor,[562.26, 95.36, -32.68],456.72
Crescent Lion Statant,[774.40, 120.37, 87.76],131.37
Crescent Petalodite,[-175.44, 2.16, -671.77],168.70
Crescent Goobbue,[-67.11, 22.06, -503.42],419.65
Crescent Uragnite,[-393.13, 2.80, -580.82],299.96
Crescent Golem,[-388.07, 3.90, -618.08],217.49
Crescent Catoblepas,[47.59, 113.08, -214.60],167.96
Crescent Meraevis,[226.16, 111.55, -16.30],195.66
Crescent Triceratops,[175.75, 101.51, 311.23],329.73
Crescent Dirty Eye,[663.42, 87.85, 399.53],378.54
Crescent Panther,[422.06, 68.67, 361.99],282.08
Crescent Headstone,[510.37, 71.52, 443.68],754.94
Crescent Byblos,[-774.24, 59.59, 179.03],160.53
Crescent Collagen,[-552.38, 73.53, 377.83],238.48
Crescent Karlabos,[87.08, 6.14, -632.74],216.06
Crescent Claw,[-405.65, 80.58, 387.53],259.80
Crescent Void Viper,[-306.28, 74.47, 562.66],139.18
Crescent Inkstain,[-372.84, 75.26, 725.02],183.27
Crescent Chimera,[-643.44, 107.37, 669.12],267.68
Crescent Satana,[-651.48, 137.83, 703.20],200.55
Crescent Zirnitra,[-708.26, 171.58, 751.41],114.70
Crescent Cetus,[83.95, -0.24, -760.99],268.37
Crescent Zaghnal,[-646.94, 4.34, -719.68],189.69
Crescent Flame,[-630.92, 4.28, -715.83],138.23
Crescent Gaelicat,[806.88, 89.48, -448.64],85.53
Crescent Apa,[-825.70, 3.91, -702.34],139.17
Crescent Zaratan,[-763.18, 5.53, -453.75],114.79
Crescent Diplocaulus,[-191.43, 74.99, 658.41],163.81
Crescent Monk,[221.76, 56.90, 645.67],207.28
Crescent Blood Demon,[309.00, 56.40, 737.24],107.34
Crescent Echos,[29.22, 67.21, 621.17],262.03
Crescent Demon Pawn,[431.57, 70.80, 668.73],229.87
Crescent Berserker,[620.00, 79.00, 795.00],5.00
Crescent Mimic,[-4.38, 94.93, 161.24],1030.67
Crescent Haagenti,[-791.45, 92.75, -138.12],161.98
Crescent Foobar,[-709.24, 112.46, -287.11],145.99
Crescent Zangbeto,[-789.95, 112.33, -231.33],126.08
Crescent Armor,[171.00, 92.74, -244.43],812.59
Crescent Dullahan,[-645.42, 144.88, 681.04],271.51
Crescent Gourmand,[-385.72, 76.40, 532.72],366.52
Crescent Geshunpest,[-585.68, 101.61, -22.74],370.30
Crescent Troubadour,[440.96, 78.22, 490.19],581.52
Crescent Caoineag,[-324.66, 6.35, -607.87],706.63
Crescent Ghost,[640.89, 105.51, -10.56],363.01
Crescent Mousse,[-3.18, 75.80, -70.17],1137.84
Crescent Dhruva,[310.12, 92.11, -15.81],881.56
Crescent Bomb,[-63.50, 69.15, -12.63],1027.03
