name,submissions,x,y,z
"Crescent Aetherscab",1,-505.90,111.08,39.10
"Crescent Aetherscab",1,-503.05,108.30,63.14
"Crescent Aetherscab",1,-499.94,109.38,-12.52
"Crescent Aetherscab",1,-499.79,109.45,-15.09
"Crescent Aetherscab",1,-499.74,109.51,-16.84
"Crescent Aetherscab",1,-499.72,109.42,-14.42
"Crescent Aetherscab",1,-499.54,109.50,-17.34
"Crescent Aetherscab",1,-499.42,109.43,-15.90
"Crescent Aetherscab",1,-499.40,109.43,-16.04
"Crescent Aetherscab",1,-499.38,109.38,-14.58
"Crescent Aetherscab",1,-499.35,109.44,-16.51
"Crescent Aetherscab",1,-499.28,109.43,-16.37
"Crescent Aetherscab",1,-499.22,109.37,-15.14
"Crescent Aetherscab",1,-499.20,109.23,-11.48
"Crescent Aetherscab",1,-499.08,109.42,-16.82
"Crescent Aetherscab",1,-499.06,109.23,-11.89
"Crescent Aetherscab",1,-499.05,109.42,-16.90
"Crescent Aetherscab",1,-499.02,109.47,-18.42
"Crescent Aetherscab",1,-498.99,109.21,-11.67
"Crescent Aetherscab",1,-498.93,109.48,-19.06
"Crescent Aetherscab",1,-498.75,109.41,-17.77
"Crescent Aetherscab",1,-498.59,109.27,-14.72
"Crescent Aetherscab",1,-498.36,109.27,-15.69
"Crescent Aetherscab",1,-498.33,109.28,-16.01
"Crescent Aetherscab",1,-498.29,109.39,-18.91
"Crescent Aetherscab",1,-498.18,109.19,-14.24
"Crescent Aetherscab",1,-497.99,109.36,-19.25
"Crescent Aetherscab",1,-497.80,109.21,-16.19
"Crescent Aetherscab",1,-497.80,107.30,34.06
"Crescent Aetherscab",1,-497.66,109.13,-14.39
"Crescent Aetherscab",1,-497.63,109.22,-17.00
"Crescent Aetherscab",1,-497.59,109.26,-18.15
"Crescent Aetherscab",1,-497.44,108.94,-10.18
"Crescent Aetherscab",1,-497.44,109.09,-14.21
"Crescent Aetherscab",1,-497.38,109.05,-13.31
"Crescent Aetherscab",1,-497.33,108.93,-10.37
"Crescent Aetherscab",1,-497.26,109.28,-19.87
"Crescent Aetherscab",1,-497.23,108.88,-9.64
"Crescent Aetherscab",1,-497.20,109.26,-19.68
"Crescent Aetherscab",1,-497.00,108.94,-11.90
"Crescent Aetherscab",1,-496.95,108.86,-9.89
"Crescent Aetherscab",1,-496.91,109.10,-16.46
"Crescent Aetherscab",1,-496.88,108.93,-12.12
"Crescent Aetherscab",1,-496.88,109.07,-15.93
"Crescent Aetherscab",1,-496.80,109.09,-16.71
"Crescent Aetherscab",1,-496.78,109.10,-17.04
"Crescent Aetherscab",1,-496.64,108.93,-13.09
"Crescent Aetherscab",1,-496.50,108.96,-14.35
"Crescent Aetherscab",1,-496.45,106.80,35.70
"Crescent Aetherscab",1,-496.37,108.79,-10.27
"Crescent Aetherscab",1,-496.34,108.97,-15.19
"Crescent Aetherscab",1,-496.33,108.91,-13.57
"Crescent Aetherscab",1,-496.32,108.90,-13.38
"Crescent Aetherscab",1,-496.32,108.79,-10.53
"Crescent Aetherscab",1,-496.27,106.82,34.02
"Crescent Aetherscab",1,-496.24,108.80,-11.18
"Crescent Aetherscab",1,-496.21,107.30,-2.01
"Crescent Aetherscab",1,-496.18,109.15,-20.55
"Crescent Aetherscab",1,-496.16,108.95,-15.39
"Crescent Aetherscab",1,-496.15,108.94,-15.11
"Crescent Aetherscab",1,-496.14,108.75,-10.03
"Crescent Aetherscab",1,-496.08,108.68,-8.46
"Crescent Aetherscab",1,-496.08,106.85,33.57
"Crescent Aetherscab",1,-496.04,106.70,37.58
"Crescent Aetherscab",1,-496.03,108.72,-9.75
"Crescent Aetherscab",1,-496.02,106.69,36.46
"Crescent Aetherscab",1,-496.00,108.02,-5.29
"Crescent Aetherscab",1,-495.99,108.73,-10.12
